	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
ZFP36	0.95	0.21	0.00	0.44	0.74	0.44	0.38	0.10	0.48	0.35	0.19	0.84	0.87	0.88	0.77	0.36	0.19	0.44	0.25	0.52	0.00	0.55	0.05	0.12	0.43	0.31	0.50	1.00	0.11	0.94	0.81	0.55	0.80	0.42	0.89	0.12	0.07	0.25	0.24	0.57	0.77	0.18	0.27	0.50	0.54	0.26	0.43	0.08	0.72	0.39	0.40	0.04	0.02	0.27	0.24	0.85	0.74	0.37	0.04	0.44	0.91	0.55	0.98	0.31	0.75
SIRT2	0.56	0.54	0.25	0.39	0.57	0.06	0.35	0.06	0.08	0.50	0.50	0.65	0.39	0.10	0.41	0.90	0.81	0.76	0.39	0.21	0.07	0.32	0.82	0.20	0.87	0.82	0.08	0.75	0.16	0.34	0.16	0.54	0.45	0.96	0.76	0.70	0.43	0.98	0.38	0.92	0.69	0.78	0.51	0.34	0.68	0.76	0.91	0.11	0.43	0.23	0.37	0.07	0.51	0.01	0.62	0.48	0.11	0.35	0.24	0.72	0.82	0.58	0.12	0.61	0.64
MAP4K1	0.65	0.92	0.12	0.22	0.60	0.40	0.65	0.53	0.89	0.86	0.29	0.74	0.44	0.26	0.41	0.61	0.26	0.16	0.17	0.43	0.68	0.92	0.25	0.27	0.37	0.53	0.77	0.94	0.33	0.31	0.29	0.68	0.30	0.79	0.24	0.49	0.00	0.03	0.31	0.73	0.77	0.19	0.17	0.57	0.62	0.06	0.49	0.46	0.14	0.30	0.65	0.77	0.53	0.09	0.29	0.10	0.08	0.85	0.50	0.18	0.73	0.72	0.25	0.40	0.86
BC027344	0.84	0.28	0.11	0.13	0.83	0.79	0.91	0.98	0.37	0.98	0.36	0.10	0.35	0.15	0.16	0.34	0.37	0.27	0.87	0.09	0.44	0.81	0.98	0.98	0.63	0.39	0.15	0.89	0.76	0.70	0.13	0.08	0.22	0.67	0.52	0.63	0.74	0.61	0.07	0.22	0.96	0.98	0.65	0.31	0.16	0.41	0.08	0.78	0.46	0.14	0.99	0.38	0.29	0.59	0.68	0.85	0.25	0.37	0.53	0.92	0.20	0.91	0.68	0.10	0.39
TBCB	0.72	0.27	0.37	0.50	0.74	0.28	0.94	0.06	0.73	0.02	0.70	0.91	0.50	0.84	0.52	0.04	0.37	0.33	0.81	0.19	0.85	0.77	0.64	0.81	0.89	0.80	0.66	0.38	0.52	0.71	0.45	0.09	0.59	0.39	0.72	0.00	0.22	0.51	0.23	0.52	0.23	0.00	0.79	0.73	0.71	0.84	0.82	0.52	0.56	0.59	0.98	0.63	0.06	0.04	0.91	0.07	0.57	0.85	0.26	0.83	0.60	0.29	0.90	0.32	0.56
PRODH2	0.04	0.69	0.57	0.01	0.11	0.06	0.91	0.31	0.44	0.54	0.97	0.55	0.82	0.24	0.98	0.14	0.87	0.37	0.56	0.60	0.83	0.42	0.87	0.94	0.70	0.70	0.88	0.23	0.53	0.43	0.04	0.33	0.25	0.00	0.92	0.78	0.29	0.24	0.44	0.48	0.89	0.54	0.97	0.27	0.17	0.74	0.83	0.08	0.33	0.57	0.45	0.28	0.18	0.77	0.20	0.54	0.56	0.43	0.50	0.84	0.62	0.60	0.48	0.91	0.40
TXNRD1	0.73	0.34	0.27	0.40	0.31	0.17	0.37	0.60	0.28	0.36	0.68	0.71	0.48	0.82	0.44	0.34	0.31	0.15	0.83	0.06	0.57	0.11	0.92	0.93	0.41	0.48	0.73	0.28	0.93	0.49	0.77	0.44	0.65	0.71	0.40	0.75	0.18	0.25	0.27	0.19	0.91	0.24	0.98	0.85	0.58	0.82	0.64	0.04	0.44	0.56	0.62	0.90	0.60	0.34	0.41	0.06	0.54	0.59	0.66	0.25	0.33	0.23	0.36	0.09	0.60
UBA2	0.16	0.95	0.89	0.95	0.54	0.57	0.15	0.35	0.16	0.39	0.01	0.77	0.01	0.70	0.82	0.70	0.51	0.94	0.39	0.59	0.17	0.20	0.97	0.75	0.27	0.59	0.12	0.33	0.96	0.23	0.84	0.40	0.24	0.17	0.69	0.86	0.09	0.71	0.31	0.07	0.14	0.83	0.06	0.96	0.36	0.86	0.77	0.46	0.92	0.03	0.96	0.79	0.04	0.04	0.31	0.70	0.75	0.15	0.91	0.74	0.88	0.22	0.71	0.45	0.19
CEBPA	0.76	0.05	0.42	0.94	0.57	0.91	0.96	0.44	0.69	0.37	0.48	0.71	0.83	0.90	0.97	0.29	0.87	0.91	0.11	0.94	0.37	0.65	0.87	0.89	0.16	0.33	0.92	0.85	0.56	0.95	0.50	0.23	0.38	0.47	0.93	0.98	0.39	0.19	0.45	0.69	0.37	0.02	0.24	0.03	0.10	0.46	0.78	0.21	0.28	0.63	0.15	0.32	0.89	0.85	0.14	0.56	0.69	0.28	0.21	0.47	0.01	0.89	0.13	0.60	0.07
AK081136	0.36	0.35	0.33	0.79	0.14	0.21	0.44	0.80	0.91	0.80	0.79	0.59	0.80	0.33	0.99	0.19	0.71	0.75	0.07	0.77	0.32	0.96	0.89	0.51	0.61	0.19	0.18	0.18	0.87	0.32	0.76	0.88	0.41	0.14	0.16	0.96	0.11	0.16	0.78	0.35	0.62	0.13	0.36	0.76	0.43	0.99	0.41	0.25	0.64	0.04	0.26	0.65	0.61	0.20	0.41	0.79	0.54	0.28	0.59	0.71	0.90	1.00	0.40	0.66	0.51
NCK2	0.32	0.89	0.37	0.61	0.80	0.23	0.01	0.69	0.06	0.57	0.13	0.49	0.05	0.69	0.21	0.69	0.52	0.55	0.54	0.49	0.68	0.42	0.43	0.63	0.46	0.49	0.79	0.27	0.27	0.56	0.05	0.90	0.15	1.00	0.26	0.66	0.98	0.84	0.92	0.35	0.94	0.19	0.02	0.83	0.77	0.15	0.95	0.30	0.24	0.13	0.85	0.40	0.85	0.18	0.41	0.29	0.44	0.77	0.10	0.16	0.42	0.19	0.19	0.59	0.49
AK184603	0.15	0.89	0.88	0.45	0.81	0.29	0.56	0.15	0.92	0.12	0.85	0.19	0.22	0.47	0.08	0.42	0.13	0.87	0.13	0.15	0.70	0.86	0.95	0.27	0.59	1.00	0.83	0.97	0.40	0.31	0.75	0.01	0.14	0.11	0.47	0.02	0.23	0.64	0.94	0.96	0.98	0.73	0.46	0.93	0.51	0.62	0.02	0.66	0.26	0.54	0.56	0.14	0.32	0.96	0.08	0.02	0.91	0.69	0.14	0.50	0.22	0.81	0.61	0.18	0.64
PNKP	0.53	0.39	0.96	0.18	0.39	0.28	0.58	0.14	0.89	0.45	0.72	0.00	0.88	0.25	0.07	0.67	0.17	0.81	0.70	0.22	0.33	0.97	0.65	0.47	0.40	0.29	0.49	0.28	0.29	0.45	0.66	0.07	0.30	0.73	0.43	0.73	0.32	0.07	0.73	0.76	0.88	0.14	0.64	0.90	0.83	0.30	0.42	0.31	0.11	0.01	0.48	0.19	0.85	0.89	0.15	0.59	0.99	0.63	0.54	0.58	0.76	0.29	0.88	0.92	0.08
RPL13A-PS1	0.81	0.99	0.50	0.56	0.32	0.94	0.14	0.33	0.33	0.62	0.88	0.58	0.06	0.71	0.27	0.55	0.89	0.26	0.38	0.12	0.83	0.23	0.33	0.38	0.22	0.31	0.55	0.74	0.13	0.88	0.39	0.02	0.63	0.50	0.90	0.79	0.72	0.24	0.84	0.31	0.22	0.54	0.68	0.36	0.47	0.64	0.91	0.54	0.45	0.79	0.74	0.92	0.01	0.31	0.62	0.80	0.99	0.99	0.49	0.28	0.99	0.65	0.90	0.91	0.29
BAX	0.86	0.62	0.97	0.95	0.95	0.08	0.31	0.83	0.72	0.03	0.96	0.02	0.31	0.94	0.46	0.56	0.05	0.37	0.04	0.23	0.20	0.40	0.07	0.41	0.47	0.91	0.49	0.94	0.92	0.17	0.65	0.62	0.88	0.28	0.26	0.55	0.08	0.83	0.47	0.97	0.54	0.20	0.16	0.71	0.63	0.59	0.14	0.25	0.73	0.42	0.05	0.65	0.89	0.27	0.73	0.23	0.94	0.84	0.90	0.98	0.72	0.10	0.29	0.72	0.07
CYTH2	0.68	0.46	0.71	0.14	0.19	0.73	0.94	0.86	0.88	0.48	0.22	0.52	0.51	0.76	0.10	0.66	0.46	0.32	0.79	0.53	0.75	0.00	0.67	0.44	0.46	0.32	0.38	0.78	0.36	0.56	0.51	0.98	0.34	0.76	0.75	0.50	0.76	0.05	0.49	0.56	0.79	0.09	0.23	0.04	0.16	0.90	0.92	0.99	0.45	0.74	0.61	0.19	0.02	0.14	0.58	0.27	0.96	0.91	0.29	0.61	0.78	0.16	0.15	0.80	0.46
SAAL1	0.49	0.68	0.35	0.79	0.37	0.27	0.70	0.28	0.60	0.28	0.52	0.93	0.76	0.00	0.82	0.81	0.35	0.71	0.21	0.50	0.53	0.19	0.91	0.88	0.91	0.64	0.67	0.42	0.89	0.16	0.07	1.00	0.44	0.44	0.22	0.07	0.02	0.97	0.95	0.65	0.43	0.23	0.86	0.45	0.32	0.38	0.68	0.37	0.16	0.77	0.68	0.27	0.99	0.77	0.41	0.53	0.72	0.25	0.42	0.68	0.62	0.50	0.82	0.69	0.03
TMEM86A	1.00	0.34	0.05	0.04	0.70	0.20	0.67	0.10	0.28	0.11	0.11	0.66	0.98	0.32	0.19	0.11	0.47	0.68	0.52	0.59	0.53	0.27	0.74	0.33	0.87	0.20	0.77	0.23	0.08	0.11	0.54	0.65	0.43	0.58	0.14	0.42	0.80	0.26	0.20	0.84	0.76	0.48	0.07	0.44	0.63	0.45	0.96	0.78	0.39	0.63	0.22	0.77	0.86	0.15	0.36	0.67	0.79	0.64	0.74	0.85	0.61	0.83	0.59	0.09	0.40
NIPA2	0.92	0.98	0.77	0.97	0.27	0.31	0.25	0.92	0.98	0.13	0.12	0.61	0.18	0.02	0.80	0.60	0.94	0.28	0.49	0.83	0.42	0.75	0.99	0.70	0.94	0.92	0.72	0.90	0.93	0.63	0.55	0.37	0.02	0.18	0.11	0.57	0.91	0.57	0.85	0.47	0.46	0.87	0.48	0.26	0.27	0.46	0.58	0.79	0.96	0.83	0.93	0.14	0.17	0.71	0.81	0.50	0.35	0.11	0.27	0.78	0.58	0.77	0.61	0.36	0.91
TRPM1	0.29	0.25	0.08	0.40	0.44	0.33	0.40	0.30	0.98	0.60	0.22	0.77	0.12	0.47	0.17	0.36	0.15	0.56	0.09	0.52	0.62	0.34	0.47	0.81	0.28	0.06	0.15	0.40	0.89	0.44	0.19	0.27	0.93	0.43	0.89	0.61	0.19	0.86	0.34	0.47	0.56	0.58	0.14	0.93	0.93	0.20	0.18	0.78	0.64	0.99	0.27	0.69	0.84	0.01	0.58	0.72	0.84	0.31	0.35	0.40	0.20	0.32	0.34	0.98	0.11
CHSY1	0.37	0.34	0.05	0.18	0.58	0.11	0.62	0.63	0.35	0.45	0.57	0.42	0.92	0.92	0.10	0.42	0.97	0.97	0.75	0.17	0.35	0.04	0.95	0.02	0.08	0.57	0.54	0.97	0.03	0.75	0.17	0.34	0.25	0.97	0.09	0.20	0.06	0.83	0.18	1.00	0.55	0.32	0.21	0.49	0.14	0.05	0.80	0.54	0.24	0.85	0.56	0.60	0.49	0.72	0.00	0.55	0.13	0.16	0.88	0.94	0.43	0.35	0.97	0.41	0.16
ARRDC4	0.27	0.71	0.57	0.05	0.25	0.82	0.16	0.15	0.74	0.74	0.79	0.74	0.25	0.39	0.62	0.43	0.93	0.24	0.47	0.34	0.42	0.32	0.04	0.31	0.16	0.35	0.04	0.26	0.75	0.08	0.45	0.98	0.74	0.78	0.30	0.47	0.89	0.32	0.28	0.80	0.41	0.09	0.15	0.33	0.88	0.33	0.08	0.01	0.07	0.73	0.33	0.84	0.01	0.11	0.77	0.90	0.69	0.21	0.09	0.05	0.42	0.98	0.70	0.50	0.62
MRPS11	0.47	0.19	0.90	0.17	0.37	0.46	0.96	0.26	0.05	0.77	1.00	0.11	0.04	0.62	0.93	0.62	0.56	0.97	0.33	0.67	0.49	0.76	0.68	0.67	0.21	0.64	0.50	0.39	0.03	0.90	0.74	0.29	0.50	0.59	0.65	0.65	0.84	0.86	0.26	0.06	0.56	0.77	0.37	0.63	0.36	0.16	0.97	0.67	0.88	0.71	0.33	0.59	0.70	0.26	0.78	0.62	0.33	0.87	0.43	0.57	0.93	0.38	0.69	0.12	0.02
ZFP710	0.25	0.26	0.86	0.29	0.77	0.61	0.28	0.57	0.81	0.55	0.90	0.93	0.67	0.17	0.05	0.22	0.43	0.10	0.03	0.43	0.62	0.89	0.81	0.75	0.25	0.49	0.20	0.76	0.42	0.44	0.18	0.93	0.60	0.14	0.93	0.94	0.21	0.44	0.86	0.53	0.13	0.83	0.94	0.40	0.44	0.19	0.33	0.79	0.12	0.49	0.37	0.15	0.94	1.00	0.67	0.91	0.86	0.37	0.13	0.14	0.30	0.14	0.60	0.10	0.82
MAN2A2	0.17	0.13	0.41	0.16	0.19	0.90	0.51	0.45	0.22	0.56	0.71	0.50	0.79	0.36	0.15	0.69	0.83	0.08	0.64	0.50	0.01	0.33	0.76	0.14	0.80	0.85	0.42	0.28	0.29	0.31	0.71	0.82	0.75	0.76	0.87	0.50	0.26	0.64	0.23	0.82	0.10	0.42	0.12	0.38	0.37	0.35	0.99	0.37	0.99	0.26	0.03	0.57	0.25	0.55	0.33	0.72	0.40	0.43	0.34	0.10	0.40	0.77	0.78	0.53	0.96
WHAMM	0.39	0.04	0.89	0.22	0.41	0.61	0.82	0.40	0.23	0.59	0.89	0.37	0.91	0.97	0.96	0.74	0.48	0.44	0.28	0.16	0.58	0.76	0.42	0.00	0.66	0.17	0.89	0.87	0.43	0.61	0.28	0.01	0.50	0.90	0.94	0.20	0.98	0.69	0.57	0.90	0.18	0.43	0.35	0.60	0.74	0.94	0.00	0.99	0.24	0.30	0.57	0.71	0.14	0.83	0.34	0.94	0.76	0.79	0.74	0.18	0.73	0.45	0.09	0.63	0.52
MESDC1	0.65	0.45	0.88	0.76	0.54	0.18	0.05	0.65	0.62	0.47	0.62	0.98	0.83	0.96	0.06	0.34	0.38	0.41	0.50	0.94	0.57	0.89	0.02	0.57	0.05	0.92	0.04	0.71	0.04	0.80	0.98	0.43	0.46	0.45	0.44	0.83	0.83	0.53	0.75	0.14	0.36	0.20	0.68	0.03	0.02	0.14	0.28	0.87	0.91	0.97	0.97	0.78	0.44	0.46	0.30	0.08	0.17	0.12	0.58	0.57	0.08	0.22	0.63	0.28	0.69
CTSC	0.58	0.61	0.51	0.24	0.16	0.25	0.42	0.63	0.47	0.69	0.15	0.01	0.12	0.67	0.69	0.80	0.09	0.17	0.05	0.16	0.66	0.93	0.86	0.86	0.38	0.73	0.51	0.58	0.37	0.72	0.88	0.63	0.90	0.42	0.99	0.63	0.07	0.48	1.00	0.44	0.23	0.68	0.89	0.59	0.49	0.69	0.71	0.23	0.45	0.01	0.79	0.55	0.96	0.27	0.99	0.42	0.97	0.65	0.64	0.95	0.04	0.11	0.06	0.37	0.63
TMEM126A	0.18	0.80	0.58	0.72	0.89	0.06	0.34	0.59	0.23	0.60	0.27	0.51	0.20	0.21	0.26	0.50	0.35	0.32	0.15	0.88	0.71	0.03	0.09	0.86	0.01	0.95	0.67	0.36	0.57	0.37	0.49	0.49	0.96	0.54	0.22	0.24	0.20	0.72	0.51	0.26	0.74	0.50	0.07	0.27	0.32	0.41	0.33	0.86	0.08	0.98	0.55	0.90	0.90	0.78	0.34	0.36	0.68	0.19	0.73	0.71	0.18	0.80	0.42	0.80	0.85
INTS4	0.61	0.70	0.61	0.17	0.91	0.50	0.25	0.44	0.97	0.31	0.13	0.14	0.71	0.77	0.61	0.69	0.83	0.81	0.81	0.81	0.45	0.32	0.64	0.05	0.10	0.79	0.75	0.48	0.53	0.02	0.45	0.24	0.42	0.29	0.98	0.44	0.79	0.77	0.83	0.70	0.06	0.77	0.97	0.99	0.03	0.13	0.27	0.14	0.58	0.29	0.51	0.97	0.35	0.18	0.23	0.89	0.27	0.92	0.20	0.53	0.40	0.30	0.52	0.88	0.48
2210018M11RIK	0.96	0.38	0.02	0.58	0.34	0.54	0.42	0.27	0.93	0.67	0.77	0.40	0.38	0.52	0.82	0.15	0.70	0.84	0.10	0.78	0.27	0.07	0.63	0.97	0.24	0.60	0.43	0.93	0.88	0.20	0.23	0.26	0.02	0.85	0.87	0.08	0.68	0.19	0.24	0.30	0.24	0.72	0.92	0.83	0.25	0.32	0.62	0.45	0.10	1.00	0.64	0.06	0.18	0.14	0.40	0.43	0.49	0.81	0.36	0.24	0.20	0.95	0.31	0.03	0.32
POLD3	0.28	0.20	0.27	0.93	0.27	0.13	0.99	0.65	0.81	0.50	0.95	0.02	0.09	0.57	0.93	0.98	0.76	0.50	0.98	0.43	0.14	0.86	0.86	0.05	0.87	0.25	0.22	0.17	0.42	0.17	0.02	0.53	0.58	0.57	0.32	0.90	0.12	0.86	0.06	0.80	0.40	0.98	0.45	0.77	0.07	0.85	0.40	0.78	0.28	0.87	0.72	0.14	0.58	0.55	0.51	0.86	0.34	0.34	0.71	0.88	0.89	0.47	0.33	0.35	0.14
FAM168A	0.27	0.13	0.57	0.78	0.04	0.54	0.43	0.94	0.91	0.85	0.69	0.85	0.93	0.54	0.63	0.33	0.51	0.62	0.10	0.03	0.86	0.20	0.08	0.60	0.06	0.29	0.04	0.69	0.58	0.01	0.11	0.23	0.07	0.53	0.69	0.59	0.11	0.80	0.45	0.86	0.33	0.49	0.57	0.13	0.54	0.86	0.92	0.43	0.40	0.64	0.66	0.26	0.06	0.08	0.28	0.08	0.69	0.80	0.76	0.61	0.23	0.40	0.58	0.60	0.43
IL18BP	0.04	0.77	0.88	0.82	0.45	0.18	0.41	0.70	0.76	0.16	0.93	0.30	0.62	0.23	0.18	0.49	0.46	0.88	0.36	0.37	0.50	0.67	0.99	0.94	0.68	0.48	0.09	1.00	0.40	0.29	0.26	0.23	0.37	0.13	0.28	0.39	0.01	0.05	0.96	0.33	0.38	0.97	0.92	0.41	0.43	0.53	0.37	0.73	0.22	0.68	0.68	0.97	0.13	0.03	0.82	0.06	0.63	0.51	0.91	0.83	0.45	0.18	0.21	0.95	0.65
TRIM6	0.94	0.52	0.66	0.56	0.56	0.29	0.53	0.90	0.11	0.18	0.39	0.01	0.78	0.17	0.85	0.75	0.51	0.55	0.45	0.84	0.73	0.48	0.67	0.90	0.39	0.81	0.50	0.84	0.77	0.03	0.57	0.01	0.87	0.24	0.10	0.46	0.97	0.28	0.52	0.38	0.46	0.79	0.40	0.30	0.02	0.60	0.26	0.99	0.55	0.32	0.78	0.41	0.76	0.45	0.95	0.31	0.41	0.27	0.89	0.74	0.43	0.83	0.39	0.27	0.48
ILK	0.82	0.51	0.45	0.33	0.54	0.79	0.63	0.22	0.82	0.64	0.40	0.09	0.69	0.34	0.46	0.91	0.21	0.19	0.33	0.27	0.93	0.67	0.79	0.30	0.16	0.61	0.11	0.39	0.46	0.63	0.41	0.76	0.26	0.26	0.22	0.20	0.42	0.91	0.46	0.00	0.63	0.29	0.85	0.68	0.94	0.83	0.87	0.68	0.14	0.15	0.38	0.85	0.08	0.15	0.81	0.29	0.49	0.42	0.02	0.76	0.11	0.90	0.98	0.59	0.11
AK172683	0.68	0.68	0.01	0.05	0.89	0.95	0.45	0.15	0.29	0.90	0.59	0.07	0.83	0.16	0.07	0.21	0.81	0.29	0.39	0.04	0.65	0.87	0.87	0.08	0.29	0.98	0.73	0.39	0.60	0.69	0.17	0.85	1.00	0.92	0.47	0.53	0.64	0.02	0.81	0.37	0.48	0.49	0.77	0.74	0.22	0.09	0.92	0.44	0.82	0.99	0.62	0.66	0.81	0.85	0.67	0.47	0.37	0.26	0.21	0.26	0.76	0.38	0.56	0.22	0.06
TMEM41B	0.55	0.03	0.52	0.14	0.95	0.07	0.86	0.02	0.21	0.70	0.29	0.73	0.29	0.56	0.00	0.93	0.82	0.63	0.79	0.11	0.28	0.41	0.43	0.82	0.41	0.84	0.77	0.86	0.38	0.31	0.11	0.53	0.64	0.06	0.50	0.80	0.94	0.84	0.21	0.61	0.80	0.83	0.66	0.04	0.96	0.73	0.01	0.32	0.41	0.36	0.55	0.65	0.03	0.28	0.13	0.08	0.02	0.67	0.58	0.06	0.12	0.82	0.67	0.72	0.92
EIF4G2	0.38	0.52	0.09	0.75	0.31	0.84	0.00	0.93	0.25	0.24	0.11	0.89	0.22	0.18	0.31	0.93	0.92	0.23	0.84	0.42	0.66	0.55	0.97	0.04	0.13	0.29	0.83	0.20	0.39	0.34	0.22	0.42	0.40	0.73	0.39	0.65	0.67	0.58	0.48	0.92	0.02	0.38	0.38	0.69	0.66	0.47	0.23	0.77	0.32	0.40	0.76	0.17	0.05	0.11	0.35	0.20	0.69	0.42	0.44	0.18	0.87	0.48	0.63	0.32	0.95
COPB1	0.48	0.03	0.62	0.00	0.62	0.61	0.96	0.91	1.00	0.27	0.24	0.31	0.94	0.81	0.83	0.03	0.02	0.37	0.57	0.71	0.40	0.00	0.74	0.77	0.88	0.74	0.55	0.80	0.18	0.01	0.03	0.66	0.90	0.17	0.78	0.52	0.00	0.05	0.38	0.30	0.63	0.35	0.57	0.58	0.85	0.23	0.31	0.91	0.49	0.73	0.19	0.96	0.39	0.75	0.90	0.19	0.41	0.07	0.39	0.92	0.32	0.03	0.55	0.77	0.61
ARL6IP1	0.22	0.48	0.80	0.56	0.67	0.04	0.10	0.62	0.95	0.73	0.63	0.68	0.96	0.50	0.74	0.88	0.14	0.07	0.67	0.68	0.90	0.91	0.76	0.78	0.76	0.28	0.81	0.75	0.43	0.47	0.98	0.70	0.89	0.42	0.24	0.99	0.63	0.17	0.27	0.18	0.91	0.44	0.64	0.53	0.51	0.94	0.12	0.91	0.32	0.45	0.83	0.42	0.22	0.94	0.27	0.66	0.71	0.74	0.63	0.77	0.84	0.64	0.68	0.50	0.54
THUMPD1	0.24	0.36	0.12	0.88	0.06	0.88	0.87	0.56	0.74	0.23	0.33	0.92	0.19	0.93	0.61	0.05	0.76	0.76	0.50	0.45	0.78	0.57	0.53	0.16	0.06	0.73	0.49	0.79	0.76	0.70	0.38	0.63	0.18	0.26	0.82	0.24	0.16	0.49	0.04	0.13	0.70	0.06	0.15	0.85	0.88	0.87	0.41	0.85	0.92	0.22	0.04	0.83	0.12	0.88	0.22	0.63	0.81	0.91	0.14	0.83	0.20	0.55	0.07	0.31	0.99
USP31	0.52	0.25	0.74	0.11	0.51	0.29	0.37	0.13	0.23	0.08	0.46	0.10	0.66	0.25	0.75	0.17	0.16	0.01	0.23	0.63	0.27	0.81	0.46	0.34	0.70	0.22	0.78	0.94	0.34	0.95	0.77	0.95	0.78	0.84	0.86	0.28	0.39	0.71	0.82	0.63	0.88	0.03	0.63	0.35	0.23	0.22	0.78	0.26	0.48	0.34	0.45	0.82	0.27	0.97	0.35	0.51	0.19	0.62	0.66	0.20	0.19	0.87	0.61	0.35	0.26
TNRC6A	0.75	0.72	0.00	0.62	0.69	0.55	0.71	0.50	0.10	0.55	0.32	0.02	0.69	0.94	0.33	0.25	0.95	0.88	0.06	0.29	0.87	0.50	0.20	0.10	0.22	0.91	0.64	0.36	0.60	0.42	0.87	0.10	0.63	0.63	0.80	0.65	0.08	0.99	0.61	0.60	0.03	0.41	0.51	0.07	0.47	0.52	0.40	0.03	0.27	0.44	0.85	0.33	0.85	0.92	0.88	0.68	0.47	0.89	0.78	0.03	0.28	0.03	0.44	0.75	0.75
SPNS1	0.19	1.00	0.01	0.01	0.47	0.42	0.19	0.69	0.90	0.43	0.56	0.89	0.65	0.06	0.64	0.22	0.93	0.65	0.20	0.63	0.76	0.71	0.80	0.94	0.56	0.35	0.41	0.48	0.22	0.12	0.79	0.06	0.09	0.38	0.67	0.20	0.33	0.95	0.61	0.72	0.17	0.31	0.53	0.45	0.21	0.64	0.98	0.83	0.15	0.55	0.64	0.10	0.91	0.63	0.81	0.61	0.06	0.99	0.03	0.44	0.04	0.57	0.60	0.53	0.66
NUPR1	0.02	0.18	0.51	0.39	0.31	0.53	0.82	0.44	0.01	0.64	0.14	0.02	0.34	0.07	0.14	0.76	0.71	0.94	0.83	0.22	0.61	0.49	0.65	0.94	0.37	0.80	0.94	0.83	0.32	0.28	0.52	0.28	0.83	0.58	0.05	0.77	0.69	0.76	0.01	0.24	0.64	0.05	0.27	0.33	0.98	0.21	0.16	0.01	0.19	0.49	0.81	0.26	0.75	0.33	0.47	0.66	0.64	0.83	0.68	0.71	0.14	0.02	0.76	0.84	0.49
INO80E	0.28	0.57	0.55	0.04	0.70	0.45	0.30	0.45	0.33	0.76	0.98	0.65	0.88	0.01	0.81	0.38	0.91	0.99	0.12	0.08	0.41	0.15	0.36	0.28	0.21	0.86	0.79	0.50	0.26	0.37	0.47	0.10	0.63	0.97	0.16	0.46	0.79	0.38	0.54	0.46	0.22	0.33	0.03	0.59	0.64	0.79	0.10	0.01	0.09	0.70	0.18	0.94	0.83	0.67	0.54	0.36	0.71	0.82	0.89	0.95	0.87	0.08	0.91	0.68	0.19
SPN	0.90	0.08	0.30	0.22	0.59	0.54	0.84	0.63	0.66	0.88	0.34	0.77	0.48	0.36	0.02	0.11	0.73	0.06	0.86	1.00	0.55	0.54	0.88	0.98	0.24	0.34	0.13	0.42	0.30	0.31	0.51	0.12	0.33	0.27	0.70	0.34	0.59	0.15	0.38	0.89	0.79	0.67	0.60	0.63	0.93	0.57	0.17	0.81	0.41	0.68	0.54	0.52	0.80	0.74	0.89	0.21	0.73	0.63	0.43	0.94	0.01	0.87	0.85	0.86	0.41
SRCAP	0.97	0.07	0.97	0.67	0.69	0.89	0.16	0.03	0.01	0.86	0.10	0.71	0.07	0.09	0.14	0.66	0.93	0.45	0.38	0.63	0.90	0.57	0.48	0.22	0.40	0.20	0.65	0.09	0.80	0.77	0.47	0.23	0.20	0.81	0.35	0.92	0.40	0.51	0.86	0.58	0.71	0.18	0.60	0.60	0.15	0.70	0.15	0.95	0.69	0.61	0.30	0.52	0.51	0.53	0.38	0.32	0.35	0.26	0.95	0.48	0.07	0.34	0.82	0.94	0.51
BCKDK	0.96	0.88	0.09	0.38	0.10	0.99	0.85	0.93	0.16	0.28	0.18	0.07	0.14	0.66	0.21	0.80	0.73	0.51	0.40	0.33	0.59	0.35	0.57	0.05	0.82	0.07	0.07	0.21	0.79	0.15	0.81	1.00	0.19	0.02	0.03	0.76	0.95	0.06	0.59	0.23	0.09	0.27	0.54	0.16	0.01	0.66	0.14	0.55	0.89	0.81	0.72	0.83	0.15	0.44	0.87	0.24	0.67	0.74	0.47	0.68	0.65	0.19	0.28	0.77	0.84
TIAL1	0.97	0.72	0.32	0.19	0.55	0.75	0.13	0.47	0.74	0.98	0.82	0.05	0.63	0.41	0.18	0.78	0.69	0.58	0.07	0.91	0.73	0.71	0.65	0.07	0.88	0.13	0.46	0.60	0.24	0.44	0.72	0.29	0.93	0.19	0.55	0.46	0.43	0.76	0.94	0.69	0.45	0.23	0.48	0.50	0.47	0.09	0.11	0.78	1.00	0.76	0.78	0.31	0.85	0.44	0.30	0.86	0.15	0.17	0.26	0.12	0.57	0.44	0.46	0.80	0.35
